Axial load,Potentiometer reading
30.4274,48.3600
30.4323,48.3581
30.4371,48.3563
30.4419,48.3545
30.4467,48.3527
30.4514,48.3509
30.4562,48.3491
30.4609,48.3473
30.4657,48.3455
30.4704,48.3437
30.4751,48.3419
30.4797,48.3401
30.4844,48.3383
30.4890,48.3365
30.4937,48.3347
30.4983,48.3329
30.5029,48.3311
30.5075,48.3293
30.5121,48.3275
30.5166,48.3257
30.5212,48.3239
30.5257,48.3221
30.5302,48.3203
30.5347,48.3185
30.5392,48.3167
30.5437,48.3149
30.5481,48.3131
30.5526,48.3113
30.5570,48.3095
30.5614,48.3077
30.5658,48.3058
30.5702,48.3040
30.5746,48.3022
30.5790,48.3004
30.5833,48.2986
30.5877,48.2968
30.5920,48.2950
30.5963,48.2932
30.6006,48.2914
30.6049,48.2896
30.6092,48.2878
30.6134,48.2860
30.6177,48.2842
30.6219,48.2824
30.6261,48.2806
30.6303,48.2788
30.6345,48.2770
30.6387,48.2752
30.6429,48.2734
30.6470,48.2716
30.6512,48.2698
30.6553,48.2680
30.6594,48.2662
30.6635,48.2644
30.6676,48.2626
30.6717,48.2608
30.6758,48.2590
30.6798,48.2572
30.6839,48.2553
30.6879,48.2535
30.6919,48.2517
30.6959,48.2499
30.6999,48.2481
30.7039,48.2463
30.7079,48.2445
30.7119,48.2427
30.7158,48.2409
30.7198,48.2391
30.7237,48.2373
30.7276,48.2355
30.7315,48.2337
30.7354,48.2319
30.7393,48.2301
30.7432,48.2283
30.7470,48.2265
30.7509,48.2247
30.7547,48.2229
30.7585,48.2211
30.7624,48.2193
30.7662,48.2175
30.7699,48.2157
30.7737,48.2139
30.7775,48.2121
30.7813,48.2103
30.7850,48.2085
30.7888,48.2067
30.7925,48.2048
30.7962,48.2030
30.7999,48.2012
30.8036,48.1994
30.8073,48.1976
30.8110,48.1958
30.8146,48.1940
30.8183,48.1922
30.8219,48.1904
30.8256,48.1886
30.8292,48.1868
30.8328,48.1850
30.8364,48.1832
30.8400,48.1814
30.8436,48.1796
30.8472,48.1778
30.8507,48.1760
30.8543,48.1742
30.8578,48.1724
30.8614,48.1706
30.8649,48.1688
30.8684,48.1670
30.8719,48.1652
30.8754,48.1634
30.8789,48.1616
30.8824,48.1598
30.8859,48.1580
30.8893,48.1562
30.8928,48.1543
30.8962,48.1525
30.8996,48.1507
30.9030,48.1489
30.9065,48.1471
30.9099,48.1453
30.9132,48.1435
30.9166,48.1417
30.9200,48.1399
30.9234,48.1381
30.9267,48.1363
30.9301,48.1345
30.9334,48.1327
30.9367,48.1309
30.9401,48.1291
30.9434,48.1273
30.9467,48.1255
30.9500,48.1237
30.9533,48.1219
30.9565,48.1201
30.9598,48.1183
30.9630,48.1165
30.9663,48.1147
30.9695,48.1129
30.9728,48.1111
30.9760,48.1093
30.9792,48.1075
30.9824,48.1057
30.9856,48.1038
30.9888,48.1020
30.9920,48.1002
30.9952,48.0984
30.9983,48.0966
31.0015,48.0948
31.0046,48.0930
31.0078,48.0912
31.0109,48.0894
31.0140,48.0876
31.0171,48.0858
31.0202,48.0840
31.0233,48.0822
31.0264,48.0804
31.0295,48.0786
31.0326,48.0768
31.0357,48.0750
31.0387,48.0732
31.0418,48.0714
